Профиль №1  с 01.04.2022 по 27.04.2022
Счетчик № 0816190453
Сохранен 27.04.2022 5:46:03

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
06.04.2022	23:00-24:00	000,0364	000,0000	000,0206	000,0000	
07.04.2022	00:00-01:00	000,0387	000,0000	000,0213	000,0000	
07.04.2022	01:00-02:00	000,0387	000,0000	000,0218	000,0000	
07.04.2022	02:00-03:00	000,0392	000,0000	000,0216	000,0000	
07.04.2022	03:00-04:00	000,0390	000,0000	000,0218	000,0000	
07.04.2022	04:00-05:00	000,1318	000,0000	000,0503	000,0000	
07.04.2022	05:00-06:00	000,2063	000,0000	000,0710	000,0000	
07.04.2022	06:00-07:00	000,1983	000,0000	000,0687	000,0000	
07.04.2022	07:00-08:00	000,2007	000,0000	000,0693	000,0000	
07.04.2022	08:00-09:00	000,1785	000,0000	000,0616	000,0000	
07.04.2022	09:00-10:00	000,1746	000,0000	000,0596	000,0000	
07.04.2022	10:00-11:00	000,1858	000,0000	000,0673	000,0000	
07.04.2022	11:00-12:00	000,1968	000,0000	000,0709	000,0000	
07.04.2022	12:00-13:00	000,1998	000,0000	000,0682	000,0000	
07.04.2022	13:00-14:00	000,1739	000,0000	000,0626	000,0000	
07.04.2022	14:00-15:00	000,1888	000,0000	000,0657	000,0000	
07.04.2022	15:00-16:00	000,1715	000,0000	000,0625	000,0000	
07.04.2022	16:00-17:00	000,1822	000,0000	000,0634	000,0000	
07.04.2022	17:00-18:00	000,1912	000,0000	000,0673	000,0000	
07.04.2022	18:00-19:00	000,1771	000,0000	000,0615	000,0000	
07.04.2022	19:00-20:00	000,1801	000,0000	000,0643	000,0000	
07.04.2022	20:00-21:00	000,2092	000,0000	000,0719	000,0000	
07.04.2022	21:00-22:00	000,1981	000,0000	000,0693	000,0000	
07.04.2022	22:00-23:00	000,1860	000,0000	000,0658	000,0000	
07.04.2022	23:00-24:00	000,1902	000,0000	000,0661	000,0000	
08.04.2022	00:00-01:00	000,1869	000,0000	000,0663	000,0000	
08.04.2022	01:00-02:00	000,2057	000,0000	000,0721	000,0000	
08.04.2022	02:00-03:00	000,1921	000,0000	000,0666	000,0000	
08.04.2022	03:00-04:00	000,2012	000,0000	000,0681	000,0000	
08.04.2022	04:00-05:00	000,1739	000,0000	000,0619	000,0000	
08.04.2022	05:00-06:00	000,2000	000,0000	000,0702	000,0000	
08.04.2022	06:00-07:00	000,2119	000,0000	000,0733	000,0000	
08.04.2022	07:00-08:00	000,1886	000,0000	000,0659	000,0000	
08.04.2022	08:00-09:00	000,1756	000,0000	000,0591	000,0000	
08.04.2022	09:00-10:00	000,1943	000,0000	000,0661	000,0000	
08.04.2022	10:00-11:00	000,1677	000,0000	000,0583	000,0000	
08.04.2022	11:00-12:00	000,1586	000,0000	000,0572	000,0000	
08.04.2022	12:00-13:00	000,1860	000,0000	000,0633	000,0000	
08.04.2022	13:00-14:00	000,1775	000,0000	000,0605	000,0000	
08.04.2022	14:00-15:00	000,1729	000,0000	000,0597	000,0000	
08.04.2022	15:00-16:00	000,1841	000,0000	000,0624	000,0000	
08.04.2022	16:00-17:00	000,1243	000,0000	000,0476	000,0000	
08.04.2022	17:00-18:00	000,1823	000,0000	000,0615	000,0000	
08.04.2022	18:00-19:00	000,1907	000,0000	000,0664	000,0000	
08.04.2022	19:00-20:00	000,1790	000,0000	000,0619	000,0000	
08.04.2022	20:00-21:00	000,1807	000,0000	000,0616	000,0000	
08.04.2022	21:00-22:00	000,1927	000,0000	000,0664	000,0000	
08.04.2022	22:00-23:00	000,1803	000,0000	000,0618	000,0000	
08.04.2022	23:00-24:00	000,1910	000,0000	000,0649	000,0000	
09.04.2022	00:00-01:00	000,1904	000,0000	000,0638	000,0000	
09.04.2022	01:00-02:00	000,2017	000,0000	000,0678	000,0000	
09.04.2022	02:00-03:00	000,2002	000,0000	000,0677	000,0000	
09.04.2022	03:00-04:00	000,0559	000,0000	000,0262	000,0000	
09.04.2022	04:00-05:00	000,0560	000,0000	000,0268	000,0000	
09.04.2022	05:00-06:00	000,0845	000,0000	000,0353	000,0000	
